timestamp,lat,lon,label_trawler_model,label_general_model,speed_knots
2018-07-13 19:49:42+00:00,0.23233832476628055,0.2965990236491719,mid_trawling,other,7.0
2018-07-13 20:03:44+00:00,0.2449215273664594,0.29718296456755655,mid_trawling,fishing,4.6
2018-07-13 20:06:03+00:00,0.24637599198754978,0.29595906735648875,mid_trawling,fishing,4.5
2018-07-13 20:27:21+00:00,0.25305005997434615,0.2758249987995191,mid_trawling,fishing,4.0
2018-07-13 20:43:33+00:00,0.2616429100801563,0.2651851499333983,mid_trawling,fishing,4.3000001907
2018-07-13 21:00:12+00:00,0.2730107517478902,0.2663637744724407,mid_trawling,fishing,3.9000000954
2018-07-13 21:17:03+00:00,0.28131786800882214,0.2715409748402264,mid_trawling,fishing,2.5999999046
2018-07-13 21:28:12+00:00,0.2870444504832166,0.2750515264457725,mid_trawling,fishing,3.2000000477
2018-07-13 21:51:02+00:00,0.29478704393455774,0.2761043082759409,mid_trawling,fishing,3.0999999046
2018-07-13 22:07:39+00:00,0.2977138316015694,0.2644753662600996,mid_trawling,fishing,2.5
2018-07-13 22:08:13+00:00,0.2977029181759492,0.26414157610744116,mid_trawling,fishing,2.4000000954
2018-07-13 22:31:32+00:00,0.29431082085976074,0.24855626167687817,mid_trawling,fishing,3.2999999523
2018-07-13 22:51:12+00:00,0.30453175860252296,0.2436606727405271,mid_trawling,fishing,5.0999999046
2018-07-13 23:07:43+00:00,0.3192212562169448,0.2450802400871243,mid_trawling,fishing,6.3000001907
2018-07-13 23:22:50+00:00,0.3261790737461211,0.2502735544622798,mid_trawling,fishing,6.6999998093
2018-07-13 23:39:32+00:00,0.31270493712367314,0.23664877753364602,mid_trawling,fishing,5.1999998093
2018-07-13 23:53:20+00:00,0.3066876601672128,0.2211494044450282,mid_trawling,fishing,5.5
2018-07-13 23:55:22+00:00,0.3053413378296756,0.21941369565120408,mid_trawling,fishing,5.0
2018-07-14 00:13:42+00:00,0.30147897028665605,0.20596080149854068,mid_trawling,fishing,2.7999999523
2018-07-14 00:32:02+00:00,0.30021598698720464,0.197962882538063,mid_trawling,fishing,2.9000000954
2018-07-14 00:53:03+00:00,0.29524838503826256,0.18118206216601696,mid_trawling,fishing,3.4000000954
2018-07-14 01:09:12+00:00,0.2856653878092854,0.17041560324199118,other,other,7.4000000954
2018-07-14 01:17:05+00:00,0.2809239918208703,0.18170231440395368,other,fishing,6.6
2018-07-14 01:21:35+00:00,0.2812414738508891,0.189314264582629,other,fishing,6.4
2018-07-14 01:25:32+00:00,0.28148653032797144,0.19549283540839021,other,fishing,6.3000001907
2018-07-14 01:40:43+00:00,0.2836890620488897,0.21947278037558643,mid_trawling,fishing,6.1999998093
2018-07-14 02:12:12+00:00,0.28896819323941797,0.2572708703138129,mid_trawling,fishing,3.2000000477
2018-07-14 02:28:23+00:00,0.2912907728802879,0.26975692402429313,mid_trawling,fishing,3.0999999046
2018-07-14 02:44:12+00:00,0.2888550902591567,0.28231664176846344,other,other,7.3000001907
2018-07-14 03:00:02+00:00,0.2685431840274797,0.28685618784461886,other,other,7.5999999046
2018-07-14 03:15:23+00:00,0.25426343666382184,0.29256898710868,mid_trawling,other,5.0999999046
2018-07-14 03:31:51+00:00,0.24484910175398966,0.3085471764162838,mid_trawling,fishing,5.1999998093
2018-07-14 03:47:22+00:00,0.23517085991005304,0.3081757869437894,mid_trawling,fishing,5.0
2018-07-14 03:56:43+00:00,0.22815847513371745,0.3043897625148961,mid_trawling,fishing,5.0
2018-07-14 04:01:41+00:00,0.22420582361292618,0.30630502739083987,mid_trawling,fishing,4.8
2018-07-14 04:03:05+00:00,0.22323750334100387,0.3057279924756138,mid_trawling,fishing,4.8
2018-07-14 04:06:25+00:00,0.22093575851918335,0.3029410365496832,mid_trawling,fishing,5.3
2018-07-14 04:07:24+00:00,0.22025317209213918,0.30210617747050145,mid_trawling,fishing,5.3
2018-07-14 04:19:22+00:00,0.21240342838944462,0.29126221785971085,mid_trawling,fishing,5.5
2018-07-14 04:20:10+00:00,0.21191926828324584,0.29035676409692274,mid_trawling,fishing,5.5
2018-07-14 04:22:43+00:00,0.210284235706612,0.28852744060896407,mid_trawling,fishing,4.4
2018-07-14 04:28:46+00:00,0.20825235060733274,0.2834691769468939,mid_trawling,fishing,5.7
2018-07-14 04:31:55+00:00,0.20871269955979277,0.27873012412817433,mid_trawling,fishing,6.1
2018-07-14 04:38:33+00:00,0.20945977450837583,0.26823913798145566,other,fishing,6.1999998093
2018-07-14 04:54:42+00:00,0.20681078365483616,0.24516618142906949,other,other,6.6999998093
2018-07-14 05:11:03+00:00,0.22141396583694956,0.24349339401270234,other,other,8.8999996185
2018-07-14 05:27:21+00:00,0.2199079103629141,0.2826235752575191,other,fishing,9.1000003815
2018-07-14 05:40:26+00:00,0.22217393851365114,0.28291669669421776,other,fishing,5.9
2018-07-14 05:46:52+00:00,0.21707339091663913,0.28034843086830474,mid_trawling,fishing,5.0999999046
2018-07-14 06:19:01+00:00,0.2372017529176122,0.2860144228083187,mid_trawling,fishing,5.5999999046
2018-07-14 06:40:21+00:00,0.2488652497045954,0.2730932908988561,mid_trawling,fishing,3.7999999523
